cap,bf_size,set_size,fp_count,ones_count
1,8,5,1,3.0
1,8,50,44,4.0
1,8,5000,4994,4.0
1,16,5,1,4.0
1,16,50,39,8.0
1,16,5000,4987,8.0
1,1024,5,0,5.0
1,1024,50,0,49.5
1,1024,5000,4238,512.0
1,8192,5,0,5.0
1,8192,50,0,50.0
1,8192,5000,1085,2883.5
1,524288,5,0,5.0
1,524288,50,0,50.0
1,524288,5000,0,4960.0
8,8,5,1,5.0
8,8,50,44,32.0
8,8,5000,4994,32.0
8,16,5,1,5.0
8,16,50,39,48.0
8,16,5000,4987,64.0
8,1024,5,0,5.0
8,1024,50,0,50.0
8,1024,5000,4238,3844.5
8,8192,5,0,5.0
8,8192,50,0,50.0
8,8192,5000,1085,5000.0
8,524288,5,0,5.0
8,524288,50,0,50.0
8,524288,5000,0,5000.0
22,8,5,1,5.0
22,8,50,44,50.0
22,8,5000,4994,88.0
22,16,5,1,5.0
22,16,50,39,50.0
22,16,5000,4987,176.0
22,1024,5,0,5.0
22,1024,50,0,50.0
22,1024,5000,4238,5000.0
22,8192,5,0,5.0
22,8192,50,0,50.0
22,8192,5000,1085,5000.0
22,524288,5,0,5.0
22,524288,50,0,50.0
22,524288,5000,0,5000.0
